id,description,type,length,h,d_eff,w,fc_n,fc_e,d_flange,b_eff,a,e,iz,iz_simp,trib_wt_1,trib_wt_2,stiff_factor,Mn_pos,Mn_neg,Mp_pos,Mp_neg,a_hinge,b_hinge,c_hinge,iz_model,critical_mode,stiff_factor_model,As,n_b,As_d,clear_cover,w_p,s_p,rho_s,b_c,d_c,rho_cc
1,rigid truss,beam,0,0,0,0,0,0,0,0,9999,9999999,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,rigid truss,column,0,0,0,0,0,0,0,0,9999,9999999,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1101,outer column story 1,column,132,48,45.4375,48,7000,9100,0,0,2304,4768962.15124423,309657.6,309657.6,0,0,0.7,83257341.0906534,83257341.0906534,99046623.0281265,99046623.0281265,0.0968774070739389,0.196877407073939,0.2,309657.6,flexure,0.7,[1.48 0 1.48 1.48 1.48 1.48],[13 0 2 2 2 13],[2.56 0 13.28 24 34.72 45.44],2,9,1.5,0.0122718463030851,44.5,44.5,0.0239952475119534
1102,outer column story 2,column,108,48,45.4375,48,7000,9100,0,0,2304,4768962.15124423,309657.6,309657.6,0,0,0.7,59576662.5565939,59576662.5565939,70889153.4933831,70889153.4933831,0.0849864005902999,0.1849864005903,0.2,309657.6,flexure,0.7,[0.99 0 0.99 0.99 0.99 0.99],[13 0 2 2 2 13],[2.56 0 13.28 24 34.72 45.44],2,11.25,1.5,0.0102265385859043,44.5,44.5,0.0160629342848613
1103,outer column story 3,column,108,48,45.4375,48,7000,9100,0,0,2304,4768962.15124423,309657.6,309657.6,0,0,0.7,59035628.6421975,59035628.6421975,70259377.1919921,70259377.1919921,0.0852529585238828,0.185252958523883,0.2,309657.6,flexure,0.7,[0.99 0 0.99 0.99 0.99 0.99],[13 0 2 2 2 13],[2.56 0 13.28 24 34.72 45.44],2,11.25,1.5,0.0102265385859043,44.5,44.5,0.0160629342848613
1104,outer column story 4,column,108,48,45.4375,48,7000,9100,0,0,2304,4768962.15124423,309657.6,309657.6,0,0,0.7,58488736.4410338,58488736.4410338,69622373.7888149,69622373.7888149,0.0855203525104279,0.185520352510428,0.2,309657.6,flexure,0.7,[0.99 0 0.99 0.99 0.99 0.99],[13 0 2 2 2 13],[2.56 0 13.28 24 34.72 45.44],2,11.25,1.5,0.0102265385859043,44.5,44.5,0.0160629342848613
1105,outer column story 5,column,108,48,45.4375,48,7000,9100,0,0,2304,4768962.15124423,309657.6,309657.6,0,0,0.7,57935769.204647,57935769.204647,68977880.9823377,68977880.9823377,0.0857885851721964,0.185788585172196,0.2,309657.6,flexure,0.7,[0.99 0 0.99 0.99 0.99 0.99],[13 0 2 2 2 13],[2.56 0 13.28 24 34.72 45.44],2,11.25,1.5,0.0102265385859043,44.5,44.5,0.0160629342848613
1106,outer column story 6,column,108,42,39.4375,36,7000,9100,0,0,1512,4768962.15124423,155584.8,155584.8,0,0,0.7,38551744.1015856,38551744.1015856,45837871.719993,45837871.719993,0.0876870501952329,0.187687050195233,0.2,155584.8,flexure,0.7,[0.79 0 0.79 0.79 0 0.79],[13 0 2 2 0 13],[2.56 0 14.85 27.15 0 39.44],2,11,1.5,0.0109083078249646,32.5,38.5,0.0188307251963424
1107,outer column story 7,column,108,42,39.4375,36,7000,9100,0,0,1512,4768962.15124423,155584.8,155584.8,0,0,0.7,38049983.7830293,38049983.7830293,45255011.046443,45255011.046443,0.0881064852769921,0.188106485276992,0.2,155584.8,flexure,0.7,[0.79 0 0.79 0.79 0 0.79],[13 0 2 2 0 13],[2.56 0 14.85 27.15 0 39.44],2,11,1.5,0.0109083078249646,32.5,38.5,0.0188307251963424
1108,outer column story 8,column,108,42,39.4375,36,7000,9100,0,0,1512,4768962.15124423,155584.8,155584.8,0,0,0.7,37586354.6427798,37586354.6427798,44717157.707941,44717157.707941,0.0885279266503009,0.188527926650301,0.2,155584.8,flexure,0.7,[0.79 0 0.79 0.79 0 0.79],[13 0 2 2 0 13],[2.56 0 14.85 27.15 0 39.44],2,11,1.5,0.0109083078249646,32.5,38.5,0.0188307251963424
1109,outer column story 9,column,114,42,39.4375,36,7000,9100,0,0,1512,4768962.15124423,155584.8,155584.8,0,0,0.7,37067696.1674879,37067696.1674879,44113484.4801562,44113484.4801562,0.0889513839118905,0.18895138391189,0.2,155584.8,flexure,0.7,[0.79 0 0.79 0.79 0 0.79],[13 0 2 2 0 13],[2.56 0 14.85 27.15 0 39.44],2,11,1.5,0.0109083078249646,32.5,38.5,0.0188307251963424
1110,outer column story 10,column,114,42,39.4375,36,7000,9100,0,0,1512,4768962.15124423,155584.8,155584.8,0,0,0.7,30542315.5956091,30542315.5956091,36358797.7569933,36358797.7569933,0.0869777219162902,0.18697772191629,0.2,155584.8,flexure,0.7,[0.79 0 0.79 0.79 0 0.79],[10 0 2 2 0 10],[2.56 0 14.85 27.15 0 39.44],2,11,1.5,0.0109083078249646,32.5,38.5,0.0150645801570739
