sa,rp,direction,gm,floor_1,floor_2,floor_3,floor_4,floor_5,floor_6,floor_7,floor_8,floor_9,floor_10,floor_11,floor_12,floor_13,floor_14,floor_15,floor_16,floor_17,floor_18,floor_19,floor_20,floor_21
0.027,43,1,1,0.133723106835986,0.276474316062176,0.241361632124352,0.176157994818653,0.108656388601036,0.113571663212435,0.140954658031088,0.158017834196891,0.184524062176166,0.185896341968912,0.167724005181347,0.149228984455959,0.153276652849741,0.176969388601038,0.19735151295337,0.197719658031088,0.179409554404145,0.167842455958549,0.184060849740933,0.22176421761658,0.258258259067358
0.027,43,1,2,0.054061701782321,0.182835212435233,0.166709414507772,0.144524227979275,0.132120725388601,0.13255274611399,0.13591667357513,0.15327185492228,0.160161233160622,0.153842979274611,0.146964715025907,0.149311580310881,0.15162581865285,0.15358410880829,0.158488046632126,0.163204497409326,0.177494559585492,0.186259860103627,0.186980170984456,0.179026906735751,0.169684248704663
0.027,43,1,3,0.0529786636055044,0.256134466321244,0.260289647668394,0.260094440414508,0.25529985492228,0.245592471502591,0.231836305699482,0.215940139896373,0.200526150259067,0.189159310880829,0.184783922279793,0.185725632124352,0.186799725388601,0.183335735751295,0.17483003626943,0.164862678756477,0.159618637305699,0.161685735751295,0.170218119170984,0.181768378238342,0.191561124352332
0.027,43,1,4,0.0441020446120961,0.165444010362694,0.181146367875648,0.190979528497409,0.196840150259067,0.199808803108808,0.197377196891192,0.186868129533679,0.169055227979275,0.158999683937824,0.146152663212435,0.155067010362694,0.164266305699482,0.165042917098446,0.159768046632124,0.141755455958549,0.124682658031087,0.128983020725388,0.131695005181344,0.139662259067354,0.143814849740929
0.027,43,1,5,0.200733589309585,0.358471549222798,0.39628496373057,0.38329325388601,0.316625637305699,0.279224518134708,0.260799284974093,0.236505948186529,0.215777803108808,0.227020580310887,0.224083782383425,0.251517652849745,0.291079077720209,0.310606435233161,0.280951953367876,0.285332606217617,0.281019601036256,0.232362424870466,0.217340103626942,0.298460419689119,0.450986647668394
0.027,43,1,6,0.173400464087766,0.460969440414505,0.464143248704662,0.463385818652852,0.44487649222798,0.402964419689119,0.345562191709843,0.299662202072539,0.261130963730563,0.273452015544043,0.261724150259067,0.243829740932646,0.230516849740933,0.285213766839378,0.319240010362694,0.339378243523314,0.375162699481864,0.354048191709844,0.312782694300518,0.343535694300513,0.366585896373045
0.027,43,1,7,0.147773191039987,0.582002699481863,0.566833088082898,0.527441922279789,0.474185704663209,0.421947880829013,0.381712647668392,0.358738554404144,0.365175000000001,0.403562046632126,0.449499611398964,0.483808502590672,0.492802544041448,0.478627113989637,0.495934917098444,0.509454502590672,0.472277740932641,0.416285103626943,0.415028191709843,0.424091575129535,0.506546834196893
0.027,43,1,8,0.225878257898689,0.473048878238333,0.419388015544025,0.378829383419689,0.372353735751295,0.330450886010363,0.280810730569948,0.248947,0.228716430051813,0.21415114507772,0.230061113989636,0.249172772020723,0.292350186528491,0.338223761658024,0.37650329533678,0.385310808290147,0.361973424870466,0.359214357512953,0.338495704663212,0.350370611398964,0.369290533678756
0.027,43,1,9,0.270251798372191,0.430359088082902,0.369411984455959,0.354778673575129,0.32002129533678,0.258160943005181,0.359840699481869,0.421687585492228,0.424319735751295,0.356504212435222,0.330938569948187,0.352985461139896,0.336046860103627,0.321541994818651,0.302244683937824,0.361051621761658,0.437745404145078,0.390002870466321,0.281606113989637,0.351802528497407,0.47300355958549
0.027,43,1,10,0.0556515135669425,0.316309606217616,0.301453336787564,0.279410668393781,0.261781911917098,0.257428025906735,0.265480098445596,0.278953932642487,0.292125953367875,0.302175901554404,0.305265875647668,0.296696497409326,0.276301860103627,0.252093569948186,0.241875062176166,0.253654595854922,0.275528803108808,0.288188129533678,0.279973621761657,0.257859373056994,0.243956124352332
