rp,direction,ground_motion,story_1,story_2,story_3,story_4,story_5,story_6,story_7,story_8,story_9,story_10,story_11,story_12
43,1,1,0.00226139,0.00303548,0.00272349,0.00232184,0.00204536,0.00299863,0.00363653,0.00399398,0.00426608,0.0040959,0.00336711,0.00243904
43,1,2,0.00213767,0.00295434,0.00270895,0.00226425,0.00197799,0.00237418,0.00280933,0.00294699,0.00292465,0.00302175,0.00261588,0.00192833
43,1,3,0.0018229,0.0026222,0.00262361,0.00270315,0.00285706,0.00293651,0.00285831,0.0026697,0.00246617,0.0023871,0.00212125,0.00162156
43,1,4,0.0011279,0.00155801,0.00149947,0.00164784,0.00182092,0.00186282,0.001712,0.00149803,0.00180848,0.00195551,0.00175645,0.00151612
43,1,5,0.00189757,0.00271036,0.00268192,0.00239354,0.00247181,0.002557,0.00247124,0.00273771,0.00298207,0.00286484,0.00249188,0.00195333
43,1,6,0.0015166,0.00211601,0.00201061,0.00167282,0.00131415,0.00137711,0.0019903,0.00251106,0.0028726,0.00283055,0.00234814,0.0016961
43,1,7,0.0011897,0.0016704,0.00170036,0.00160244,0.00145689,0.00127116,0.00130525,0.0013991,0.00156587,0.00158441,0.00137671,0.00105211
43,1,8,0.00159932,0.00197151,0.00206981,0.00228464,0.00260842,0.00270593,0.00253874,0.00239687,0.00257038,0.00244991,0.00213935,0.00175898
43,1,9,0.00199598,0.00269676,0.00265198,0.00262983,0.00281856,0.00293702,0.00288197,0.00280264,0.00314238,0.00312339,0.00261803,0.00197426
43,1,10,0.00340687,0.00461984,0.00491185,0.00496895,0.00512669,0.00510043,0.00483251,0.00447184,0.00438344,0.00426711,0.00372758,0.00279755
43,1,11,0.00200395,0.00287403,0.00302633,0.00313504,0.00316119,0.00292649,0.00255978,0.00232196,0.0023457,0.00232979,0.00209973,0.00158516
43,1,12,0.00132501,0.00189609,0.00185798,0.00166832,0.0018822,0.00197979,0.00184524,0.00155278,0.00176989,0.0018589,0.00157977,0.0011913
43,1,13,0.00280633,0.00377634,0.0036463,0.00337902,0.00362743,0.00409213,0.00416147,0.00372138,0.00368776,0.00398194,0.00362619,0.00279951
43,1,14,0.00204736,0.00277007,0.00270291,0.00269252,0.00305302,0.0032728,0.00309802,0.00281141,0.00267441,0.00282214,0.00299558,0.00245186
43,1,15,0.00216112,0.00303877,0.00296146,0.00262355,0.0027634,0.00327545,0.00357587,0.00366446,0.00370897,0.00345518,0.00281102,0.00204767
43,1,16,0.00127747,0.00193568,0.00201768,0.00184988,0.00161968,0.00152776,0.00146155,0.00177743,0.00209686,0.00215968,0.0018758,0.00139533
43,1,17,0.00166113,0.00233792,0.00231195,0.00214769,0.00216788,0.00211378,0.00217961,0.00213,0.00198576,0.00188332,0.00155914,0.00115005
43,1,18,0.0015251,0.00219054,0.00225367,0.0021735,0.00218089,0.00236482,0.00240453,0.00247645,0.00256721,0.00242295,0.0020298,0.0015217
43,1,19,0.000984259,0.00132324,0.0011806,0.000985474,0.000947417,0.0011487,0.00125739,0.00126791,0.00137042,0.00139241,0.00124418,0.000972342
43,1,20,0.00122913,0.00172133,0.00182501,0.00178931,0.0018488,0.00194261,0.00199062,0.00195922,0.00189637,0.00178499,0.00146512,0.00111583
43,1,21,0.00158384,0.00234218,0.00248184,0.00248528,0.00261029,0.00265925,0.00259234,0.00247978,0.00241066,0.00218105,0.00175677,0.0013101
43,1,22,0.00135861,0.00198395,0.00205553,0.00196957,0.00200352,0.00198557,0.00190059,0.00179417,0.00172083,0.00154996,0.0012488,0.000927795
43,1,23,0.00119421,0.00161014,0.0014248,0.00101867,0.000767885,0.000978905,0.00139677,0.00185404,0.00230624,0.00241161,0.00203923,0.00148005
43,1,24,0.00155101,0.00182675,0.00183449,0.00182153,0.00213942,0.00219923,0.00180346,0.00184881,0.00212319,0.00240382,0.00266199,0.00218759
43,1,25,0.00193381,0.0026007,0.00228389,0.0020321,0.00220718,0.00258851,0.0028649,0.00275013,0.00258962,0.00294593,0.00263439,0.00193326
43,1,26,0.00185716,0.00250771,0.0022452,0.00175647,0.00122407,0.00154894,0.00194184,0.00249676,0.00293949,0.00299662,0.00255324,0.0018622
43,1,27,0.00115682,0.00138387,0.00115952,0.00110175,0.00138359,0.00159272,0.00129944,0.00121455,0.00155714,0.00182364,0.00196449,0.00164889
43,1,28,0.00203412,0.00291441,0.00309834,0.00313272,0.00311552,0.00300703,0.00288714,0.0026318,0.00240034,0.00208304,0.00165592,0.00130213
43,1,29,0.00203765,0.0029129,0.00296762,0.00282336,0.00297033,0.00332963,0.00347832,0.00356034,0.00365615,0.00339197,0.00282404,0.0021366
43,1,30,0.00299578,0.00415587,0.00450654,0.0045786,0.0045903,0.00433793,0.00408098,0.00382272,0.00363108,0.00336173,0.00283376,0.00218451
43,1,31,0.00195994,0.00274867,0.00271847,0.00245859,0.00217606,0.00217541,0.00219198,0.00218665,0.00220485,0.00221314,0.001993,0.00152334
43,1,32,0.00216745,0.00319269,0.0033941,0.00360978,0.00386432,0.00385452,0.00353886,0.00313566,0.00286459,0.00265852,0.00220328,0.00166013
43,1,33,0.00282947,0.0036603,0.00334647,0.00329589,0.00388454,0.0041074,0.00416962,0.0037233,0.00336814,0.00332689,0.00283721,0.00217394
